id,strategy_name,symbol,start_date,end_date,initial_capital,final_capital,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,total_trades,winning_trades,losing_trades,avg_win,avg_loss,profit_factor
475,dual-ma-cross-v1,601166,2024-01-01,2024-06-30,1000000,1000000,0.056544,0.1257713438788941,1.496772387987843,-0.06271346976263587,1,1,0,0,0,0,0
489,dual-ma-cross-v1,601166,2024-07-01,2024-12-31,1000000,1000000,-0.033794,-0.06695932713404706,-0.2374104402841955,-0.08936,0.5,2,0,0,0,0,0.32864817301903393
463,dual-ma-cross-v1,601288,2023-01-01,2023-12-31,1000000,1000000,-0.080165,-0.08333565123449371,-1.0011598625359686,-0.082692,0.25,4,0,0,0,0,0.126714471341258
477,dual-ma-cross-v1,601288,2024-01-01,2024-06-30,1000000,1000000,-0.04207600000000011,-0.08843012787200555,-0.9025366373996588,-0.10100342734442758,0.5,2,0,0,0,0,0.3080060522334051
496,dual-ma-cross-v1,601288,2024-07-01,2024-12-31,1000000,1000000,0.032525000000000234,0.06665398649728704,0.4512812581430632,-0.1114507519668185,0.5,2,0,0,0,0,0.09975280667421994
456,dual-ma-cross-v1,601318,2023-01-01,2023-12-31,1000000,1000000,-0.047976,-0.049908180941273916,-0.18826316954102873,-0.1607035806726897,0.3333333333333333,3,0,0,0,0,0.021616771351660007
471,dual-ma-cross-v1,601318,2024-01-01,2024-06-30,1000000,1000000,0.011327,0.024556134960283638,0.2713813498501964,-0.07961613017719169,1,1,0,0,0,0,0
488,dual-ma-cross-v1,601318,2024-07-01,2024-12-31,1000000,1000000,0.27853,0.6410779895959229,1.743586821033374,-0.10136075460027834,1,1,0,0,0,0,0
465,dual-ma-cross-v1,688981,2023-01-01,2023-12-31,1000000,1000000,0.006809,0.007091358958412064,0.17968704480773443,-0.3620929401528805,0.4,5,0,0,0,0,1.1664537134311979
484,dual-ma-cross-v1,688981,2024-01-01,2024-06-30,1000000,1000000,-0.038532000000000115,-0.08115076353193118,-0.3013856089006801,-0.14680014671642277,0,1,0,0,0,0,0
498,dual-ma-cross-v1,688981,2024-07-01,2024-12-31,1000000,1000000,0.159591,0.34784064709940443,0.8218394369235454,-0.1890839092142845,0.5,2,0,0,0,0,6.459921710328218
308,macd-golden-cross-v1,000333,2023-01-01,2023-12-31,1000000,1000000,0.114655,0.11966582258298741,0.8099573928576743,-0.12621437439366082,0.3333333333333333,9,0,0,0,0,1.4062771391485416
330,macd-golden-cross-v1,000333,2024-01-01,2024-06-30,1000000,1000000,0.107595,0.24620594059582657,1.5916650462082695,-0.04900975480876327,0.6,5,0,0,0,0,4.253893589559716
347,macd-golden-cross-v1,000333,2024-07-01,2024-12-31,1000000,1000000,0.130136,0.2797098423886857,1.1985770337717603,-0.08857584726291709,0.5,4,0,0,0,0,2.048752863651571
310,macd-golden-cross-v1,000858,2023-01-01,2023-12-31,1000000,1000000,0.034700999999999885,0.03616055051346789,0.2815824184211729,-0.20162880129118324,0.5714285714285714,7,0,0,0,0,0.9515322697568016
326,macd-golden-cross-v1,000858,2024-01-01,2024-06-30,1000000,1000000,-0.01072400000000035,-0.022955020325645115,-0.07893330875678707,-0.06018951498967259,0.4,5,0,0,0,0,0.865418402690624
339,macd-golden-cross-v1,000858,2024-07-01,2024-12-31,1000000,1000000,-0.046696999999999884,-0.09190849113372057,-0.1477506594051449,-0.20716452220023826,0.14285714285714285,7,0,0,0,0,0.779698918238045
320,macd-golden-cross-v1,002594,2023-01-01,2023-12-31,1000000,1000000,-0.1407890000000001,-0.14615963742810212,-0.7326240833627357,-0.28652143866704183,0.14285714285714285,14,0,0,0,0,0.3711256520480835
334,macd-golden-cross-v1,002594,2024-01-01,2024-06-30,1000000,1000000,0.151079,0.3539762641210764,1.4170169816843965,-0.0948,0.4,5,0,0,0,0,2.762388595959125
351,macd-golden-cross-v1,002594,2024-07-01,2024-12-31,1000000,1000000,0.192287,0.42555412236113876,1.377069720069132,-0.1434407898641245,0.3333333333333333,3,0,0,0,0,6.113838397240278
319,macd-golden-cross-v1,300059,2023-01-01,2023-12-31,1000000,1000000,-0.029555999999999766,-0.030758347671716257,0.05097952077522422,-0.3175986736205008,0.5,6,0,0,0,0,0.8942623478652847
341,macd-golden-cross-v1,300059,2024-01-01,2024-06-30,1000000,1000000,-0.07420900000000023,-0.15301824371635764,-0.9044618462909488,-0.08792927984331711,0.4,5,0,0,0,0,0.3047360284817532
354,macd-golden-cross-v1,300059,2024-07-01,2024-12-31,1000000,1000000,1.000693,3.0474341576042487,2.417580385614331,-0.20079939808778888,0.2,5,0,0,0,0,12.821116794443215
327,macd-golden-cross-v1,300274,2023-01-01,2023-12-31,1000000,1000000,-0.061398,-0.06385236135916394,-0.052452717126782816,-0.2549659839762531,0.375,8,0,0,0,0,0.39822485810074104
336,macd-golden-cross-v1,300274,2024-01-01,2024-06-30,1000000,1000000,0.066166,0.14796963437456756,0.6066386324416161,-0.14545549593905505,0.3333333333333333,3,0,0,0,0,1.5527560107600542
353,macd-golden-cross-v1,300274,2024-07-01,2024-12-31,1000000,1000000,0.131482,0.28278437477762264,0.7762066522626925,-0.2706774138447804,1,3,0,0,0,0,0
321,macd-golden-cross-v1,300308,2023-01-01,2023-12-31,1000000,1000000,1.014808,1.0739835418670052,2.080169658136116,-0.19457601521137588,0.4166666666666667,12,0,0,0,0,3.3647591217743504
335,macd-golden-cross-v1,300308,2024-01-01,2024-06-30,1000000,1000000,0.32874,0.844466572146338,1.439108988281153,-0.20594831822189913,0.25,4,0,0,0,0,1.980801826126211
352,macd-golden-cross-v1,300308,2024-07-01,2024-12-31,1000000,1000000,0.143094,0.3094629092981771,0.7537637131714876,-0.22573606924764159,0.2,5,0,0,0,0,1.9288063752049778
318,macd-golden-cross-v1,300750,2023-01-01,2023-12-31,1000000,1000000,0.008622,0.00897987599895611,0.14535910015218095,-0.2006723770037949,0.375,8,0,0,0,0,0.7824402235622238
332,macd-golden-cross-v1,300750,2024-01-01,2024-06-30,1000000,1000000,-0.03691499999999953,-0.07781914446670657,-0.27346390820845284,-0.06588399999999976,0.2,5,0,0,0,0,0.5939524600442211
349,macd-golden-cross-v1,300750,2024-07-01,2024-12-31,1000000,1000000,0.191144,0.4228003495489232,1.009454516449293,-0.2833560152913698,0.3333333333333333,6,0,0,0,0,2.884008831414602
315,macd-golden-cross-v1,600000,2023-01-01,2023-12-31,1000000,1000000,-0.104693,-0.10877501925054756,-0.603436900912115,-0.1525809609736433,0.1111111111111111,9,0,0,0,0,0.29195693893109703
323,macd-golden-cross-v1,600000,2024-01-01,2024-06-30,1000000,1000000,0.218736,0.531214903130176,3.2041240880034354,-0.045387463897364394,0.5,4,0,0,0,0,9.0346752865119
343,macd-golden-cross-v1,600000,2024-07-01,2024-12-31,1000000,1000000,0.188964,0.41755562411419334,1.7229283171844112,-0.07390239897293494,0.5,4,0,0,0,0,4.339165009940378
311,macd-golden-cross-v1,600030,2023-01-01,2023-12-31,1000000,1000000,0.21259800000000045,0.22229552419387533,1.1226007103705111,-0.11507046005195987,0.6666666666666666,6,0,0,0,0,4.552358514211229
329,macd-golden-cross-v1,600030,2024-01-01,2024-06-30,1000000,1000000,0.011200000000000232,0.024279038427780897,0.2295083433280741,-0.07810069780629537,0.4,5,0,0,0,0,1.2217821782178264
346,macd-golden-cross-v1,600030,2024-07-01,2024-12-31,1000000,1000000,0.451575,1.119670674600823,2.13612964245032,-0.14164843070365415,0.6,5,0,0,0,0,11.742322239931486
314,macd-golden-cross-v1,600036,2023-01-01,2023-12-31,1000000,1000000,-0.21310000000000034,-0.22085426075170256,-1.5307744903285927,-0.2959297427161787,0.18181818181818182,11,0,0,0,0,0.07802834895247811
322,macd-golden-cross-v1,600036,2024-01-01,2024-06-30,1000000,1000000,0.206973,0.4995604052547282,2.929926092056435,-0.035716816667847776,0.75,4,0,0,0,0,37.57982740021577
342,macd-golden-cross-v1,600036,2024-07-01,2024-12-31,1000000,1000000,0.15452299999999977,0.33599126866515294,1.289165184730533,-0.10684099999999988,0.25,4,0,0,0,0,2.049437949850715
312,macd-golden-cross-v1,600519,2023-01-01,2023-12-31,1000000,1000000,-0.004685,-0.004878122096790727,0.009404562559457265,-0.1053411619868365,0.2727272727272727,11,0,0,0,0,0.7157084456814822
324,macd-golden-cross-v1,600519,2024-01-01,2024-06-30,1000000,1000000,-0.023049,-0.04898464303398775,-0.49697740729902684,-0.03906778898847733,0.4,5,0,0,0,0,0.5395173212930036
340,macd-golden-cross-v1,600519,2024-07-01,2024-12-31,1000000,1000000,-0.092012,-0.17683006605164542,-0.6654487558616544,-0.1781727053184088,0.14285714285714285,7,0,0,0,0,0.3840077122887824
313,macd-golden-cross-v1,600900,2023-01-01,2023-12-31,1000000,1000000,-0.100295,-0.10421570236793298,-1.0249552980302992,-0.1287051203438566,0.14285714285714285,14,0,0,0,0,0.23773592078003536
333,macd-golden-cross-v1,600900,2024-01-01,2024-06-30,1000000,1000000,0.096897,0.22042489683108646,1.6394436734304285,-0.06483215930844721,0.6,5,0,0,0,0,2.938307552320284
350,macd-golden-cross-v1,600900,2024-07-01,2024-12-31,1000000,1000000,-0.013012,-0.02605880676461858,-0.11552302447675186,-0.1395654596525509,0.2,5,0,0,0,0,0.08364911363735354
